coaltypecode,economytypecode,standardclass,transmitstyle,grime_explosive,coalstatecode,design_output,proved_output,mine_waterburst,mine_waterburst_max,target
1.0,0.8333333333333334,1.0,0.449438202247191,0.0,0.25,1.6666666666666666E-4,1.0E-4,0.028924533263213252,0.007638746070452743,0.0
0.0802547535348915,0.08644129848742506,0.06562929886984561,0.0,0.0,0.225,0.01200283059483213,0.00479788610071866,0.04711903266870121,0.010016819595322194,1.0
1.0,0.8333333333333334,1.0,1.0,0.11235955056179775,1.0,1.0E-4,8.3515320264389E-4,0.005259006047856955,0.0010282927402532538,0.0
0.5,0.5385431683485502,0.408881069214876,0.0,0.0,0.375,0.0013333333333333333,8.3515320264389E-4,0.01850467881024411,0.004015202068390937,0.0
1.0,0.8333333333333334,0.25,0.11235955056179775,0.11235955056179775,0.25,6.666666666666667E-5,6.666666666666667E-5,0.0013147515119642387,7.344948144666099E-4,0.0
0.29432110560171126,0.0,0.07358027640042782,0.0,0.0,0.25,0.0027446911221299113,0.0026465840869293405,0.03605405676780589,0.007705847892584964,1.0
1.0,0.8333333333333334,0.26570331470359815,0.2247191011235955,0.05569008615606212,0.3,8.34786077737016E-5,7.246434628950262E-5,0.01850467881024411,0.004015202068390937,1.0
1.0,0.8333333333333334,0.125,0.0,0.08208835240140097,0.275,3.911780530229431E-4,6.739742992908685E-4,0.005915756606058924,9.174782944799647E-4,1.0
1.0,0.8333333333333334,0.25,0.30228874641878867,0.11235955056179775,0.25,1.1032100522909269E-4,1.1032100522909269E-4,0.0033849820592291666,7.228590793469968E-4,1.0
1.0,0.3985801545987082,0.36003003049694504,0.18145375771872918,0.034547103578465715,0.325,6.666666666666667E-5,6.666666666666667E-5,0.0016169824972303182,3.6133527848910906E-4,1.0
0.0,0.0,0.125,0.8927040950678053,0.0,0.25,0.002,0.002738197269954796,0.09375362876699021,0.011511581246729947,1.0
1.0,0.8333333333333334,1.0,1.0,0.11235955056179775,1.0,1.6666666666666666E-4,1.6666666666666666E-4,0.0026295030239284773,5.875958515732879E-4,0.0
1.0,0.5385431683485502,0.408881069214876,0.449438202247191,0.11235955056179775,0.625,6.666666666666667E-5,6.666666666666667E-5,0.01850467881024411,0.004015202068390937,0.0
0.9999704390266695,0.08332840650444512,7.390243332627833E-6,0.0,6.642915355171086E-6,0.25,0.0013333136260177793,0.0013333136260177793,0.013147592850311153,0.0023504528859143413,1.0
1.0,0.8333333333333334,0.25,1.0,0.0,0.25,1.0E-4,1.0E-4,0.004207204838285564,8.520139847812675E-4,0.0
1.0,0.8333333333333334,0.25,0.2247191011235955,0.11235955056179775,1.0,4.4444444444444447E-5,4.4444444444444447E-5,0.01051801209571391,0.0019096865176131857,0.0
0.5,0.0,0.25,0.0,0.0,0.25,1.6666666666666666E-4,2.3333333333333333E-4,0.00473310544307126,0.0014689896289332197,0.0
1.0,0.08333333333333333,0.25,0.0,0.0,0.25,1.6666666666666666E-4,1.6666666666666666E-4,2.6295030239284776E-4,5.875958515732879E-5,0.0
0.0,0.0,0.0,0.0,0.0,0.25,0.0013333333333333333,0.0027222222222222222,0.06836707862214042,0.01116432117989247,0.0
